h_address,h_link,h_ranking_users,h_star,r_average,r_excellent,r_poor,r_terrible,r_very_good
"Carrer de la Unio, 21 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d639414-Reviews-MH_Apartments_Liceo-Barcelona_Catalonia.html,424,3.5,8,10,5,7,27
"Passatge Pere Rodriguez 20 , 08028 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232785-Reviews-Hotel_Alguer_Camp_Nou-Barcelona_Catalonia.html,426,NaN,16,4,5,5,8
"Carrer Villarroel 47 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d618243-Reviews-Els_Angels-Barcelona_Catalonia.html,417,1.0,1,7,0,2,4
"Hospital, 23 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d2268168-Reviews-Residencia_Universitaria_San_Agustin-Barcelona_Catalonia.html,409,NaN,3,1,3,3,6
"Avda. Castelldefels 112-114 , 08860 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d535497-Reviews-Apartamentos_Turisticos_Marsol-Barcelona_Catalonia.html,414,NaN,1,1,0,0,5
"Escudellers, 15 , C/ Nueva de Zurbano 708002 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d283455-Reviews-Hotel_Comercio_Barcelona-Barcelona_Catalonia.html,403,NaN,18,17,15,5,24
"Via Augusta, 89-91 , Sant Gervasi08006 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d206922-Reviews-NH_Belagua-Barcelona_Catalonia.html,398,NaN,21,8,4,7,33
"Ronda Universidad 1 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d263716-Reviews-Hotel_Condestable-Barcelona_Catalonia.html,391,NaN,30,13,17,9,50
"Gran Via de les Corts Catalanes, 620 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1379600-Reviews-EnjoyBCN_Coliseum_Apartments-Barcelona_Catalonia.html,401,NaN,0,13,0,1,1
"Arago 281. 2nd fl 1a , 08009 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d608393-Reviews-Barcelona_City_Hotel_Universal-Barcelona_Catalonia.html,402,1.0,25,30,10,12,47
