h_address,h_link,h_ranking_users,h_star,r_average,r_excellent,r_poor,r_terrible,r_very_good
"Cartagena 369 , 08025 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d258756-Reviews-Hotel_Aristol-Barcelona_Catalonia.html,406,3.0,10,4,3,0,25
"Rambla Catalunya 8 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d10076183-Reviews-Rent_Top_Apartments_Rambla_Catalunya-Barcelona_Catalonia.html,459,4.0,3,3,0,6,2
"Calle Castillejos, 204 , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d652748-Reviews-Hotel_Ruta_de_Francia-Barcelona_Catalonia.html,430,2.0,1,2,1,0,3
"C/Ballester no 77-81 , Plaza Lesseps08023 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d586863-Reviews-Hotel_Ronda_Lesseps-Barcelona_Catalonia.html,432,4.0,25,21,19,16,31
"Travessera de Dalt 121-123 , 08024 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d503532-Reviews-Travessera_Hotel-Barcelona_Catalonia.html,441,2.0,12,10,5,8,9
"La Rambla 44 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d643456-Reviews-Hotel_Fornos-Barcelona_Catalonia.html,425,NaN,18,6,7,10,25
"General Castanos 6 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d489100-Reviews-Lyon_Hotel-Barcelona_Catalonia.html,415,1.0,6,4,4,2,10
"C. Hospital 83 , Ciutat Vella08001 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d596510-Reviews-Alba_Hotel_3-Barcelona_Catalonia.html,427,3.0,4,10,4,6,6
"Sant Erasme 19 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d239158-Reviews-Ronda_House_Hotel-Barcelona_Catalonia.html,421,3.0,68,17,46,36,79
"Via Laietana 42 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d237159-Reviews-ILUNION_Almirante-Barcelona_Catalonia.html,439,4.0,111,46,57,79,130
"C/ Consell de Cent, 74 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d14110055-Reviews-Chic_Basic_Velvet-Barcelona_Catalonia.html,423,3.0,0,1,1,0,1
"Onze de Setembre, 156 , 08030 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d621735-Reviews-Hotel_Blauet-Barcelona_Catalonia.html,431,NaN,4,6,1,0,3
"Nou de la Rambla 15 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d949915-Reviews-La_Rambla_dels_Caputxins-Barcelona_Catalonia.html,433,NaN,3,5,1,3,3
"Avenida de Roma 23 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d229871-Reviews-Hotel_Abbot-Barcelona_Catalonia.html,442,4.0,18,5,15,8,25
"Comtal street, 33 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d628099-Reviews-St_Jordi_Apartments-Barcelona_Catalonia.html,419,3.0,3,14,3,5,8
"Jaime I , 6 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d234569-Reviews-Gran_Hotel_Barcino-Barcelona_Catalonia.html,438,4.0,0,1,0,3,7
"Ramblas, 33 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d229682-Reviews-Ramblas_Hotel-Barcelona_Catalonia.html,420,3.0,111,53,56,70,130
"C/Roger de Lluria 21 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d633539-Reviews-ICON_BCN_by_Petit_Palace-Barcelona_Catalonia.html,412,4.0,0,4,0,0,0
"Placa Major, 6 , Santa Maria de Palautordera08017 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d652750-Reviews-Hostal_Turo_de_l_Home-Barcelona_Catalonia.html,460,NaN,3,0,0,0,2
"Ronda de Sant Pere 24 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d208594-Reviews-Hotel_Urquinaona-Barcelona_Catalonia.html,408,1.0,38,29,26,11,89
"Avenida Sarria 9 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d582083-Reviews-Sunotel_Junior-Barcelona_Catalonia.html,375,2.0,47,18,17,6,60
"Cardenal Casanas 6-8 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d10359803-Reviews-May_Ramblas_Hotel-Barcelona_Catalonia.html,392,3.5,7,18,2,4,13
"Carrer de Pelai, 1 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1412979-Reviews-HLG_CityPark_Pelayo_Hotel-Barcelona_Catalonia.html,365,2.0,29,35,20,10,54
"23 Placa del Sol , 08012 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d11763281-Reviews-Hotel_La_Casa_del_Sol-Barcelona_Catalonia.html,364,3.0,2,11,0,1,7
"Cardenal Casanas 11 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1051571-Reviews-Atlas_Hotel-Barcelona_Catalonia.html,400,3.0,25,19,12,7,44
"Arc de Sant Ramon del Call, 4 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d237155-Reviews-Hotel_El_Call-Barcelona_Catalonia.html,397,1.0,64,24,22,14,65
"Calle Paris 101 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d543385-Reviews-Sunotel_Aston-Barcelona_Catalonia.html,394,3.0,68,35,23,18,79
"Ronda Sant Pere, 15 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d314854-Reviews-Bcn_Urban_Hotels_Gran_Ducat-Barcelona_Catalonia.html,376,3.0,71,32,24,16,104
"Pelai 62 , Plaza Cataluña08001 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d284018-Reviews-Hotel_Monegal-Barcelona_Catalonia.html,411,2.0,78,50,37,22,105
"Ronda Sant Pau 14 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d227465-Reviews-Hotel_Garbi_Millenni-Barcelona_Catalonia.html,382,4.0,53,35,20,14,84
"Passeig Mare de Deu del Coll 10 , 08023 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d236194-Reviews-Catalonia_Park_Guell-Barcelona_Catalonia.html,373,3.0,79,56,46,34,120
"Carrer de Ferran, 40-42 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231526-Reviews-Hotel_Rialto-Barcelona_Catalonia.html,405,3.0,255,100,97,90,330
"C/ Ramblas 78-80 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d238718-Reviews-Hotel_Internacional_Ramblas_Cool-Barcelona_Catalonia.html,379,3.0,78,102,33,38,167
"Capitan Arenas, 20 , 08034 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231515-Reviews-Arenas_Atiram_Hotels-Barcelona_Catalonia.html,395,4.0,7,13,11,7,28
"C/ Llanca 30 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232787-Reviews-Onix_Fira-Barcelona_Catalonia.html,393,3.0,78,36,26,19,97
"C/ Pere Grau, 21 , 08320 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d652570-Reviews-Hotel_Torino-Barcelona_Catalonia.html,399,1.0,3,8,0,0,4
"Av. Portal de l'Angel, 24 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d652577-Reviews-Hostal_Lausanne-Barcelona_Catalonia.html,413,NaN,16,7,4,4,27
"Capitan Arenas 51 , 08034 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d234570-Reviews-Bonanova_Park-Barcelona_Catalonia.html,377,2.0,11,24,1,7,35
"Via Laietana, 17 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d234574-Reviews-Exe_Laietana_Palace-Barcelona_Catalonia.html,378,4.0,69,47,43,40,112
"68th Putxet St , 08023 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228483-Reviews-Catalonia_Park_Putxet_Hotel-Barcelona_Catalonia.html,371,4.0,79,54,38,49,99
"Carrer de Lope de Vega, 4 , 08005 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228463-Reviews-Euro_Hotel_Barcelona_Port-Barcelona_Catalonia.html,404,4.0,90,40,36,16,125
"Vilana, 7 , 08017 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d237154-Reviews-Vilana_Hotel-Barcelona_Catalonia.html,380,4.0,4,9,2,1,12
"Gran Via de las Cortes Catalanas, 682 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d7234979-Reviews-Amra_Barcelona_Gran_Via-Barcelona_Catalonia.html,363,3.5,6,33,3,5,22
"Carrer de Ferran, 21 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d229872-Reviews-Hotel_Adagio-Barcelona_Catalonia.html,359,2.0,48,47,25,17,98
"Via Augusta 167 , Zona Alta08021 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d239524-Reviews-Aparthotel_Senator_Barcelona-Barcelona_Catalonia.html,407,3.0,8,9,3,5,9
"Calvet 40-42 , 08021 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d277228-Reviews-AC_Hotel_Irla-Barcelona_Catalonia.html,361,3.0,36,33,12,8,56
"Diputacio 257 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206937-Reviews-Exe_Cristal_Palace-Barcelona_Catalonia.html,369,4.0,85,72,34,27,152
"Calle Nou de la Rambla 50 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d595547-Reviews-Be_Ramblas_Hotel-Barcelona_Catalonia.html,396,NaN,39,22,11,8,41
"Antoni de Capmany, 82 , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d2538214-Reviews-Hostal_Sans-Barcelona_Catalonia.html,362,NaN,21,26,9,4,44
"Plaza Reial 11 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d263714-Reviews-Roma_Reial_Hotel-Barcelona_Catalonia.html,388,1.0,95,48,52,29,128
"Pelai 9 , Piso 1º-1ª08001 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d239590-Reviews-Hotel_Pelayo-Barcelona_Catalonia.html,355,1.0,23,16,6,6,30
"Bisbe Sivilla, 7 , 08022 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d238721-Reviews-Bonanova-Barcelona_Catalonia.html,328,3.0,5,12,0,1,25
"Calle Ausias March 25, 1st Floor , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d9595744-Reviews-Aparthotel_Mayerling_Abamita-Barcelona_Catalonia.html,312,3.0,1,19,0,0,0
"Calatrava 32-34 , 08017 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231529-Reviews-Tres_Torres_Atiram_Hotel-Barcelona_Catalonia.html,334,3.0,9,24,10,0,32
"Gran Via de les Corts Catalanes 570 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d671023-Reviews-Sunotel_Central-Barcelona_Catalonia.html,356,4.0,102,72,43,25,158
"Ronda Sant Antoni 49 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d590284-Reviews-BCN_Urban_Hotels_Gran_Ronda-Barcelona_Catalonia.html,348,3.0,74,58,18,15,145
"Valencia 157 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d4741644-Reviews-Sunotel_Club_Central-Barcelona_Catalonia.html,317,4.0,53,48,9,8,71
"C/ Hospital N 11 , Boqueria Market, Las Ramblas, Barrio Gótico, Plaza Catalunya08001 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d232779-Reviews-Moderno_Hotel_Bcn-Barcelona_Catalonia.html,366,NaN,76,107,36,21,186
"Rector Triado 82 , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d579667-Reviews-Transit_Hotel-Barcelona_Catalonia.html,372,1.0,24,9,9,8,37
"Santa Caterina 38 , 08930, Sant Adria Del Besos, Barcelona08003 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d606469-Reviews-Ciutat_de_Sant_Adria_Hotel-Barcelona_Catalonia.html,389,2.0,20,22,10,2,24
"C/ Mallorca 1-23 , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228500-Reviews-Expo_Hotel_Barcelona-Barcelona_Catalonia.html,368,4.0,315,333,118,80,623
"Paseo de Gracia, 29-31 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1008130-Reviews-Eurostars_BCN_Design-Barcelona_Catalonia.html,343,5.0,67,107,32,17,94
"C/ Botanica 25 , L'Hospitalet de Llobregat08908 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d601350-Reviews-Travelodge_Barcelona_Fira-Barcelona_Catalonia.html,370,3.0,14,25,3,8,16
"Comte Borrell 208 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d487644-Reviews-Hotel_Zenit_Borrell-Barcelona_Catalonia.html,319,4.0,45,55,14,9,105
"Carrer de Sants 383 , 08028 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d12810925-Reviews-Ona_Hotels_Arya-Barcelona_Catalonia.html,360,3.0,0,9,0,0,1
"Passeig Garcia Faria 69-71 , 08019 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228621-Reviews-Hotel_Front_Maritim-Barcelona_Catalonia.html,374,4.0,140,101,49,27,191
"Passeig de Sant Antoni 36-40 , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1176318-Reviews-AC_Hotel_Sants-Barcelona_Catalonia.html,342,4.0,77,77,22,12,150
"Av. Pearson 1 - 3 , Pedralbes08034 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d236195-Reviews-Sansi_Pedralbes-Barcelona_Catalonia.html,349,NaN,7,36,1,4,20
"Mallorca 216 , 08009 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1950986-Reviews-Balmes_Residence-Barcelona_Catalonia.html,367,4.0,4,10,0,0,7
"Sant Pau, 34 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d237153-Reviews-Hotel_Peninsular-Barcelona_Catalonia.html,387,1.0,65,46,36,34,97
"Nou de la Rambla 36 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d667881-Reviews-Onix_Liceo_Hotel-Barcelona_Catalonia.html,323,4.0,61,129,36,18,151
"Calle Muntaner 505 , 08022 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228572-Reviews-Hotel_Catalonia_Barcelona_505-Barcelona_Catalonia.html,338,4.0,36,60,21,10,70
"C/ Cabanes 34 , 08004 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231523-Reviews-Hotel_Nuevo_Triunfo-Barcelona_Catalonia.html,354,2.0,28,30,10,13,55
"Gravina 12 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232777-Reviews-Grupotel_Gravina-Barcelona_Catalonia.html,321,3.0,92,215,45,22,281
"C/ Balmes, 142-146 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228576-Reviews-Catalonia_Diagonal_Centro-Barcelona_Catalonia.html,329,4.0,42,57,21,15,96
"Travessera de les Corts, 292 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206929-Reviews-NH_Barcelona_Les_Corts-Barcelona_Catalonia.html,331,3.0,33,31,7,4,47
"Passeig de Gracia, 115 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d10850379-Reviews-CoolRooms_Paseo_de_Gracia-Barcelona_Catalonia.html,358,4.0,0,22,1,1,3
"Las Ramblas 22-24 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d2500594-Reviews-Eurostars_Ramblas-Barcelona_Catalonia.html,313,4.0,44,65,6,13,74
"Carme 38 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d503529-Reviews-Hotel_Aneto-Barcelona_Catalonia.html,357,NaN,54,32,15,14,94
"Sant Pau 15 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d609868-Reviews-Hostal_River-Barcelona_Catalonia.html,353,NaN,13,17,2,3,43
"Concell de Cent, 74 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206931-Reviews-Hotel_Sant_Angelo-Barcelona_Catalonia.html,269,NaN,30,44,11,3,64
"C/ Escudellers, 19 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d290554-Reviews-Hotel_Barcelona_House-Barcelona_Catalonia.html,339,3.0,162,177,70,35,331
"Plaza Palacio 19 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1228670-Reviews-Hotel_Del_Mar-Barcelona_Catalonia.html,326,3.0,54,61,17,15,158
"84 Rambla de Catalunya , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d12701699-Reviews-Ona_Hotels_Mosaic-Barcelona_Catalonia.html,336,3.0,3,20,2,1,4
"Loreto, 21 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206933-Reviews-Hotel_Derby-Barcelona_Catalonia.html,318,4.0,69,68,19,11,133
"Carrer de la Boqueria, 19 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d599059-Reviews-Hotel_Ingles-Barcelona_Catalonia.html,340,1.0,35,33,9,10,85
"Josep Tarradellas 119-121 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d581779-Reviews-Hotel_Medium_Prisma-Barcelona_Catalonia.html,332,2.0,25,28,5,5,38
"Carrer de Santa Anna, 24 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d601230-Reviews-Hotel_Catalunya-Barcelona_Catalonia.html,320,2.0,34,32,7,12,73
"Avda Parallel 64 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d280861-Reviews-Hotel_Auto_Hogar-Barcelona_Catalonia.html,333,3.0,156,137,76,71,266
"Gran Via de les Corts Catalanes, 327 , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d250783-Reviews-Hotel_Acta_Azul_Barcelona-Barcelona_Catalonia.html,315,3.0,15,47,7,5,55
"Calle Lepanto 406 , 08025 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231528-Reviews-ILUNION_Bel_Art-Barcelona_Catalonia.html,314,4.0,12,12,1,4,18
"Placa duc de Medinaceli 8 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d603788-Reviews-Hotel_Medinaceli-Barcelona_Catalonia.html,346,4.0,84,76,25,22,144
"Calle Pallars 121-125 , 08018 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1536366-Reviews-Hotel_Spa_Villa_Olimpica_Suites-Barcelona_Catalonia.html,352,4.0,38,53,18,25,101
"Calle Padilla 173 , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d229875-Reviews-Hotel_Glories-Barcelona_Catalonia.html,330,3.0,51,38,18,11,105
"Viladomat, 197 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232786-Reviews-Hotel_Exe_AB_Viladomat-Barcelona_Catalonia.html,350,3.0,69,96,23,15,169
"Bertran 9-15 , 08023 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232775-Reviews-Exe_Mitre-Barcelona_Catalonia.html,341,3.0,29,44,10,5,76
"Carrer de Llacuna 32 , Poblenou08005 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d3533952-Reviews-Travelodge_Barcelona_Poblenou-Barcelona_Catalonia.html,347,1.0,140,235,68,37,350
"Muntaner, 212 , 08036 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d237156-Reviews-Guitart_Grand_Passage-Barcelona_Catalonia.html,292,4.0,23,51,15,9,50
"Pla de Palau 17 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d237160-Reviews-Hotel_Oasis-Barcelona_Catalonia.html,322,2.0,96,124,52,43,274
"C/Pallars 203 , 08005 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1056883-Reviews-Holiday_Inn_Express_Barcelona_City_22-Barcelona_Catalonia.html,325,3.0,224,191,39,31,399
"Placa Sant Agusti 3 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d234573-Reviews-Hotel_Sant_Agusti-Barcelona_Catalonia.html,344,3.0,109,101,56,15,278
"Avenida de Roma 31 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d238750-Reviews-Catalonia_Roma-Barcelona_Catalonia.html,327,3.0,30,16,13,13,51
"Rambla de Sant Josep 91 - 93 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1201345-Reviews-Exe_Ramblas_Boqueria-Barcelona_Catalonia.html,278,3.0,41,71,10,6,102
"154 Carrer de Badajoz , 08018 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d12514004-Reviews-Hotel_SB_Glow-Barcelona_Catalonia.html,324,4.5,16,32,6,7,28
"C/ Numancia 32 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228626-Reviews-Abba_Sants_Hotel-Barcelona_Catalonia.html,351,4.5,59,80,9,3,143
"Pallars 128 - 130 , 08018 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d280922-Reviews-Salles_Hotel_Pere_IV-Barcelona_Catalonia.html,345,4.0,5,18,0,2,8
"C/ Berruguete 126 , 08035 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228464-Reviews-Alimara_Barcelona_Hotel-Barcelona_Catalonia.html,337,4.0,52,59,21,17,117
"C/ Sicilia 166-170 , Ausias March 113-11508013 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d604501-Reviews-ILUNION_Auditori-Barcelona_Catalonia.html,316,3.0,102,147,26,17,230
"Carrer del Comte Borrell 68 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d647354-Reviews-Market_Hotel-Barcelona_Catalonia.html,335,3.0,82,138,31,17,233
"Sant Gervasi de Cassoles 26 , 08022 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228595-Reviews-Silken_St_Gervasi_Hotel-Barcelona_Catalonia.html,279,3.0,37,74,8,9,111
"08011 , C/ Valencia, 15408011 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d234566-Reviews-Barcelona_Century_Hotel-Barcelona_Catalonia.html,285,NaN,30,29,5,8,83
"Calle Pelayo 6 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d507800-Reviews-Chic_Basic_Lemon-Barcelona_Catalonia.html,255,NaN,22,49,8,3,79
"Rambla del Raval, 8 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d12103449-Reviews-Niu_Barcelona_Hotel-Barcelona_Catalonia.html,274,3.0,2,26,0,0,11
"Sepulveda 180 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d579016-Reviews-Hotel_Advance-Barcelona_Catalonia.html,265,4.0,25,78,17,8,88
"Arago, 256 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d266810-Reviews-HCC_Taber-Barcelona_Catalonia.html,284,3.0,55,36,11,9,103
"Paseo Bonanova 58 , 08017 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228492-Reviews-Catalonia_Mikado_Hotel-Barcelona_Catalonia.html,288,3.0,7,22,5,2,24
"Castillejos 340 , 08025 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d266811-Reviews-Hotel_Medicis-Barcelona_Catalonia.html,261,NaN,41,57,8,2,75
"D' Angli, 60 , 08017 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d596514-Reviews-Eurostars_Angli-Barcelona_Catalonia.html,283,4.0,25,47,5,7,55
"Via Augusta 127 , 08006 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206923-Reviews-Mercure_Barcelona_Condor-Barcelona_Catalonia.html,266,4.0,14,27,8,5,37
"Passeig Joan de Borbo, 54 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d654600-Reviews-Hotel_54_Barceloneta-Barcelona_Catalonia.html,307,NaN,27,42,10,6,57
"Diputacion Street, 383 , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d260656-Reviews-Hotel_SERHS_Carlit-Barcelona_Catalonia.html,302,3.0,28,36,13,5,66
"Avenida Marques de l'Argentera 4 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d3565806-Reviews-Hotel_Ciutadella_Barcelona-Barcelona_Catalonia.html,300,4.0,49,83,11,9,147
"C/ Santalo 8 , 08021 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231531-Reviews-Hotel_Zenit_Barcelona-Barcelona_Catalonia.html,303,4.0,31,61,15,4,76
"Gran Via de les Corts Catalanes 574 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228556-Reviews-Caledonian_Hotel-Barcelona_Catalonia.html,286,3.0,57,111,27,15,166
"Nou de Sant Francesc 40 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d634631-Reviews-Hotel_Canton-Barcelona_Catalonia.html,256,1.0,44,63,10,4,123
"Maria Cubi, 62-64 , 08006 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231505-Reviews-Aparthotel_Mariano_Cubi-Barcelona_Catalonia.html,271,4.0,32,80,13,16,116
"Boqueria, 23 , Ciutat Vella08002 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d648030-Reviews-Hotel_Condal-Barcelona_Catalonia.html,304,2.0,71,47,18,10,131
"Consell de Cent, 444 , Esquina Napols08013 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d282607-Reviews-Hotel_Aranea-Barcelona_Catalonia.html,298,3.0,94,110,36,18,220
"Consell de Cent 498-500 , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d549454-Reviews-Eurostars_Monumental-Barcelona_Catalonia.html,287,4.0,47,68,14,3,91
"Avinguda del Parallel, 115 , 08004 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d309580-Reviews-Silken_Concordia_Hotel-Barcelona_Catalonia.html,270,4.0,67,116,33,8,234
"Avda Meridiana 151 , 08026 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228469-Reviews-Catalonia_Atenas_Hotel-Barcelona_Catalonia.html,295,4.0,111,170,44,56,230
